Feature,Importance,AbsImportance
tenure,-1.2338673360083172,1.2338673360083172
Contract_Two year,-0.7627300661768167,0.7627300661768167
InternetService_Fiber optic,0.6430670180486822,0.6430670180486822
InternetService_DSL,-0.640210321486407,0.640210321486407
Contract_Month-to-month,0.5873259161200737,0.5873259161200737
MonthlyCharges,-0.5854457819288323,0.5854457819288323
TotalCharges,0.5102810849971766,0.5102810849971766
PaperlessBilling_No,-0.3297524151264138,0.3297524151264138
DeviceProtection_No internet service,-0.29039802916583546,0.29039802916583546
OnlineSecurity_No internet service,-0.29039802916583546,0.29039802916583546
InternetService_No,-0.29039802916583546,0.29039802916583546
OnlineBackup_No internet service,-0.29039802916583546,0.29039802916583546
TechSupport_No internet service,-0.29039802916583546,0.29039802916583546
StreamingTV_No internet service,-0.29039802916583546,0.29039802916583546
StreamingMovies_No internet service,-0.29039802916583546,0.29039802916583546
MultipleLines_No,-0.2712202347186068,0.2712202347186068
Dependents_Yes,-0.2550006296697316,0.2550006296697316
SeniorCitizen_0,-0.2167405450240173,0.2167405450240173
StreamingMovies_Yes,0.20998496197346564,0.20998496197346564
StreamingTV_Yes,0.20921734502120454,0.20921734502120454
PaymentMethod_Credit card (automatic),-0.20913021326866224,0.20913021326866224
StreamingMovies_No,-0.20712826541119184,0.20712826541119184
StreamingTV_No,-0.20636064845890592,0.20636064845890592
PaymentMethod_Electronic check,0.20483717864413895,0.20483717864413895
PaymentMethod_Bank transfer (automatic),-0.18058241206060413,0.18058241206060413
OnlineSecurity_No,0.1652323477719233,0.1652323477719233
OnlineSecurity_Yes,-0.16237565120964306,0.16237565120964306
PhoneService_Yes,-0.1595855719785513,0.1595855719785513
gender_Female,-0.1548622061232444,0.1548622061232444
Partner_No,-0.15428210642496346,0.15428210642496346
TechSupport_No,0.14075991007392033,0.14075991007392033
TechSupport_Yes,-0.13790321351163837,0.13790321351163837
Partner_Yes,-0.13325922617856809,0.13325922617856809
gender_Male,-0.13267912648030278,0.13267912648030278
PhoneService_No,-0.12795576062500205,0.12795576062500205
MultipleLines_No phone service,-0.12795576062500205,0.12795576062500205
Contract_One year,-0.11213718254680234,0.11213718254680234
MultipleLines_Yes,0.11163466274006376,0.11163466274006376
PaymentMethod_Mailed check,-0.10266588591842037,0.10266588591842037
SeniorCitizen_1,-0.07080078757953497,0.07080078757953497
PaperlessBilling_Yes,0.04221108252286137,0.04221108252286137
OnlineBackup_No,0.04133298536001204,0.04133298536001204
OnlineBackup_Yes,-0.03847628879773519,0.03847628879773519
Dependents_No,-0.032540702933813316,0.032540702933813316
DeviceProtection_Yes,0.029583908270830038,0.029583908270830038
DeviceProtection_No,-0.026727211708544044,0.026727211708544044
